docsrc	docsrc_name	description	status_action	region	province	printtype	mediatype	date_from	date_to	timeliness
BAUZEIT	"Österreichische Bauzeitung"	"Fachzeitschrift für die Bauwirtschaft"	added_in_amc5	agesamt	-	fachmedium	print	2003-06-13	2026-06-26	
BEEYMOFOE1	"ORF Radio Ö1"	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	agesamt	-	-	av_transcript	2023-01-01	2026-06-30	
BEEYMOFOE3	"ORF Radio Ö3"	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	agesamt	-	-	av_transcript	2023-01-01	2026-06-30	
BEEYMOFORF1	ORF1	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	agesamt	-	-	av_transcript	2023-01-01	2026-06-30	
BEEYMOFORF2	ORF2	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	agesamt	-	-	av_transcript	2023-01-01	2026-06-30	
BEEYMOFORF3	ORF3	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	agesamt	-	-	av_transcript	2024-08-30	2024-09-03	eingestellt
BEEYMOFRADIOBGLD	"ORF Radio Burgenland"	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	aost	BGL	-	av_transcript	2023-01-01	2026-06-30	
BEEYMOFRADIOKTN	"ORF Radio Kärnten"	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	asuedost	KT	-	av_transcript	2023-01-04	2026-06-30	
BEEYMOFRADIONOE	"ORF Radio Niederösterreich"	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	aost	"NÖ"	-	av_transcript	2023-01-03	2026-06-30	
BEEYMOFRADIOOOE	"ORF Radio Oberösterreich"	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	amitte	"OÖ"	-	av_transcript	2023-01-02	2026-06-30	
BEEYMOFRADIOSBG	"ORF Radio Salzburg"	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	amitte	SB	-	av_transcript	2023-01-01	2026-06-30	
BEEYMOFRADIOSTMK	"ORF Radio Steiermark"	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	asuedost	ST	-	av_transcript	2023-01-02	2026-06-30	
BEEYMOFRADIOTIR	"ORF Radio Tirol"	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	awest	T	-	av_transcript	2023-01-01	2026-06-30	
BEEYMOFRADIOVBG	"ORF Radio Vorarlberg"	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	awest	V	-	av_transcript	2023-01-02	2026-06-30	
BEEYMOFRADIOW	"ORF Radio Wien"	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	aost	W	-	av_transcript	2023-01-01	2026-06-30	
BERGWELT	Bergwelten	"Das Magazin für alpine Lebensfreude"	added_in_amc5	agesamt	-	zeitschrift	print	2017-03-21	2026-05-14	
BEZNOE	"Bezirksblätter Niederösterreich"	"Regionale Wochenzeitschrift für Niederösterreich"	added_in_amc5	aost	"NÖ"	zeitung	print	2010-10-06	2026-06-24	
BIBER	biber	"Das Magazin für neue Österreicher"	added_in_amc5	agesamt	-	zeitschrift	print	2013-12-12	2026-05-06	
BILAND	"Blick ins Land"	"Das Magazin für den ländlichen Raum"	added_in_amc5	agesamt	-	zeitschrift	print	2005-10-03	2026-06-15	
BOERSENK	Börsen-Kurier	"Wochenzeitung für Finanz und Wirtschaft"	added_in_amc5	agesamt	-	zeitschrift	print	2010-01-14	2026-06-26	
BUEHNE	"BÜHNE"	"Österreichs Theater- und Kulturmagazin"	added_in_amc5	agesamt	-	zeitschrift	print	2012-08-30	2026-05-28	
BUNDESLI	Bundesliga-Journal	"Journal der Österreichischen Fußball-Bundesliga"	added_in_amc5	agesamt	-	zeitschrift	print	1990-02-15	2025-08-01	
BURBEZ	"Bezirksblätter Burgenland"	"Regionale Wochenzeitschrift für das Burgenland"	added_in_amc5	aost	BGL	zeitung	print	2010-10-06	2026-06-24	
BUSIART	Businessart	"Magazin für nachhaltiges Wirtschaften"	added_in_amc5	agesamt	-	zeitschrift	print	2012-10-18	2026-06-18	
BUSMONAT	"Business Monat"	"Magazin für Wirtschaft, Nachhaltigkeit und Genuss"	added_in_amc5	agesamt	-	fachmedium	print	2018-01-19	2026-06-12	
BUSREP	Bus&Hotelreport	"Magazin für Touristik, Gastronomie und Bustechnik"	added_in_amc5	agesamt	-	fachmedium	print	2007-01-01	2026-04-30	
BVZ	"Burgenländische Volkszeitung"	"Wochenzeitung für das Burgenland"	im_amc	aost	BGL	zeitung	print	2003-12-03	2026-06-25	
CASH	Cash	"Das Handelsmagazin"	added_in_amc5	agesamt	-	fachmedium	print	2000-04-01	2026-06-30	eingestellt
CHEFINFO	Chefinfo	"Das Magazin der Führungskräfte"	added_in_amc5	agesamt	-	fachmedium	print	2018-09-11	2026-06-10	
COLORH	Color	"Österreichische Fachzeitschrift für das Malergewerbe"	added_in_amc5	agesamt	-	fachmedium	print	2013-11-08	2026-06-03	
COMPETCIRCLE	"Competence Circle"	"Die Publikation zur EXPO REAL"	added_in_amc5	agesamt	-	fachmedium	print	2022-09-01	2024-09-16	eingestellt
COMWELT	"IT WELT"	it.telekommunikation.business	added_in_amc5	agesamt	-	fachmedium	print	1997-01-13	2026-06-24	
DACHWAND	"Dach Wand"	"Österreichisches Fachmagazin für Dachdecker und Spengler"	added_in_amc5	agesamt	-	fachmedium	print	2013-10-28	2026-06-26	
DASFEUILL	"Das Feuilleton"	"Zeitung für Debatte, Kultur, Medien und Zeitgeschehen"	added_in_amc5	agesamt	-	zeitschrift	print	2023-12-01	2025-11-28	
DATUM	Datum	"Magazin für anspruchsvolle Leserinnen und Leser"	im_amc	agesamt	-	zeitschrift	print	2007-01-01	2026-06-05	
DERBAUEH	"Der Bauer"	"Informationen der Landwirtschaftskammer Oberösterreich"	added_in_amc5	amitte	"OÖ"	zeitschrift	print	2013-11-06	2026-06-17	
DERBOERS	"Der Börsianer"	"Österreichisches Fachmagazin für den Kapitalmarkt"	added_in_amc5	agesamt	-	fachmedium	print	2014-10-10	2026-05-12	
DERPLANH	"der Plan"	"Zeitschrift der Kammer der Architekten und Ingenieurkonsulenten"	added_in_amc5	agesamt	-	fachmedium	print	2014-09-22	2026-05-20	
DERSONNT	"Der Sonntag"	"Kirchenzeitung für Kärnten"	added_in_amc5	aost	-	zeitschrift	print	2013-06-20	2026-06-25	
DFZ	"DFZ Floridsdorfer Zeitung"	"Magazin für Floridsdorf"	added_in_amc5	aost	W	zeitschrift	print	2016-03-03	2026-06-24	
DGW	"Die Ganze Woche"	"Österreichische Wochenzeitschrift"	added_in_amc5	agesamt	-	zeitschrift	print	2011-11-30	2026-06-24	
DIEBGLIN	Burgenländerin	"Das Gesellschaftsmagazin des Burgenlandes"	added_in_amc5	aost	BGL	zeitschrift	print	2017-02-03	2026-05-29	
DIEINFO	Stadtlandwirtschaft	"Informationen der Landwirtschaftskammer Wien"	added_in_amc5	aost	W	zeitschrift	print	2014-01-03	2026-06-05	
DIELANDH	"Die Landwirtschaft"	"Informationen der Landwirtschaftskammer Niederösterreich"	added_in_amc5	aost	"NÖ"	zeitschrift	print	2014-01-03	2026-06-26	
DIENOEIN	Niederösterreicherin	"Das Gesellschaftsmagazin Niederösterreichs"	added_in_amc5	aost	"NÖ"	zeitschrift	print	2017-02-03	2026-05-29	
DIEOBER	Oberösterreicherin	"Das Gesellschaftsmagazin Oberösterreichs"	added_in_amc5	amitte	"OÖ"	zeitschrift	print	2017-02-03	2026-05-29	eingestellt
DIEWIR	"Die Wirtschaft"	"Österreichisches Wirtschaftsmagazin"	im_amc	agesamt	-	fachmedium	print	2003-05-01	2023-11-24	eingestellt
DIOEZESE	Martinus	"Kirchenzeitung für Burgenland"	added_in_amc5	aost	BGL	zeitschrift	print	2013-06-19	2026-06-24	
DISPOH	dispo	"Das Magazin für Logistik und Supply Chain Management"	added_in_amc5	agesamt	-	fachmedium	print	2019-05-16	2026-05-18	
ECHO	Echo	"Regionale Nachrichtenillustrierte"	im_amc	awest	T	zeitschrift	print	2004-01-01	2026-06-05	
ECONOVA	econova	"Österreichisches Wirtschaftsmagazin"	added_in_amc5	awest	T	fachmedium	print	2012-04-02	2026-05-15	
ELEKTRONH	"elektronik report"	"Fachzeitung für Elektronik und Prozessautomatisierung"	added_in_amc5	agesamt	-	fachmedium	print	2019-05-08	2021-11-09	eingestellt
EMEDIA	E-Media	"Internet. Computer. Handy."	im_amc	agesamt	-	zeitschrift	print	2000-12-22	2023-04-28	eingestellt
ENREP	Energiereport	"Fachmagazin für den Energiemarkt"	added_in_amc5	agesamt	-	fachmedium	print	2000-10-01	2023-11-21	eingestellt
EUNDWH	"E & W"	"Österreichische Fachzeitschrift für die Elektrobranche"	added_in_amc5	agesamt	-	fachmedium	print	2013-12-16	2026-06-09	
EXTRA	Extradienst	"Informationen für die Kommunikationsbranche"	added_in_amc5	agesamt	-	zeitschrift	print	2001-09-28	2026-05-19	
FACTORY	Factory	"Fachmagazin für Produktion & Technologie"	added_in_amc5	agesamt	-	fachmedium	print	2003-02-01	2025-11-12	
FAKTUM	FaktuM	"Informationen für Touristiker"	added_in_amc5	agesamt	-	zeitschrift	print	2001-07-12	2025-04-04	eingestellt
FALSTAFF	Falstaff	"Internationale Zeitschrift für Essen, Trinken und Reisen"	added_in_amc5	agesamt	-	zeitschrift	print	2013-10-11	2026-05-29	
FALTER	Falter	"Die Stadtzeitung für Wien und die Steiermark"	im_amc	aost	W	zeitung	print	1998-08-05	2026-06-24	
FIRMENWAH	Firmenwagen	"Magazin für Flottenbetreiber und kostenbewusste Vielfahrer"	added_in_amc5	agesamt	-	fachmedium	print	2019-06-07	2026-06-12	
FLOTTEW	FLOTTE	"Magazin für österreichische Firmenwagenbetreiber"	added_in_amc5	agesamt	-	fachmedium	print	2011-12-01	2026-06-29	
FM	FM	"Fachmagazin für Touristik, Gastronomie, Hotellerie"	added_in_amc5	agesamt	-	fachmedium	print	2001-08-01	2025-05-16	eingestellt
FOKUS	ImmoFokus	"Magazin für die österreichische Immobilienwirtschaft"	added_in_amc5	agesamt	-	fachmedium	print	2014-12-15	2023-12-11	eingestellt
FONDSEXK	"Fonds exklusiv"	"Das Magazin für die Kapitalanlage"	added_in_amc5	agesamt	-	fachmedium	print	2012-03-23	2026-06-26	
