docsrc	docsrc_name	description	status_action	region	province	printtype	mediatype	date_from	date_to	timeliness
LEBENSAR	Lebensart	"Magazin für nachhaltige Lebenskultur"	added_in_amc5	agesamt	-	zeitschrift	print	2012-10-18	2026-06-18	
LOOKLIVE	"Wienlive look!"	"Das Magazin für Wien"	added_in_amc5	aost	W	zeitschrift	print	2017-02-03	2026-06-26	
MEDIANET	Medianet	"Wirtschaftszeitung für Marketing und Sales"	im_amc	agesamt	-	fachmedium	print	2002-01-08	2026-06-26	
MEDICALT	"Medical Tribune"	"Österreichisches Fachmagazin für Ärzte"	added_in_amc5	agesamt	-	fachmedium	print	2011-02-02	2025-07-03	eingestellt
MEDIP	"Medizin populär"	"Gesundheitsmagazin aus dem Verlagshaus der Ärzte"	added_in_amc5	agesamt	-	zeitschrift	print	2012-01-09	2026-06-01	
MEDMGR	"Medien Manager"	"Faszinierende Welt der Medien"	added_in_amc5	agesamt	-	fachmedium	print	2003-01-01	2026-06-17	
METALLH	Metall	"Österreichisches Fachmagazin für die metallverarbeitende Wirtschaft"	added_in_amc5	agesamt	-	fachmedium	print	2013-10-16	2026-06-12	
MISS	MISS	"Österreichisches Lifestyle-Magazin"	added_in_amc5	agesamt	-	zeitschrift	print	2014-02-06	2024-04-04	eingestellt
MITTBURG	"Mitteilungsblatt der Burgenl. Landwirts"	"Informationen der Landwirtschaftskammer Burgenland"	added_in_amc5	aost	BGL	zeitschrift	print	2013-11-01	2026-06-10	
MOMENTS	"Moments Oberösterreich"	"Das Magazin für die schönsten Augenblicke"	added_in_amc5	amitte	"OÖ"	zeitschrift	print	2018-08-30	2026-06-26	
MOMESTMK	"Moments Steiermark"	"Das Magazin für die schönsten Augenblicke"	added_in_amc5	asuedost	ST	zeitschrift	print	2018-08-30	2026-06-05	
MOTORRAD	Motorradmagazin	"Österreichisches Hochglanz-Motorradmagazin"	added_in_amc5	agesamt	-	zeitschrift	print	2013-05-02	2026-06-18	
MWVOLL	"ORF (Radio and TV)"	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	agesamt	-	-	av_transcript	2003-02-03	2022-12-31	eingestellt
NEWBUSIN	"New Business"	"Fachmagazin aus der Werbe- und Medienbranche"	added_in_amc5	agesamt	-	fachmedium	print	2014-03-10	2026-06-05	
NEWS	News	"Politik. Geld. Szene. Leute."	im_amc	agesamt	-	zeitschrift	print	1999-01-07	2026-06-25	
NEWSLEBE	"Woman Balance"	"Österreichisches Gesundheitsmagazin"	added_in_amc5	agesamt	-	zeitschrift	print	2012-09-07	2025-09-11	eingestellt
NOEN	"Niederösterreichische Nachrichten"	"Niederösterreichische Wochenzeitung"	im_amc	aost	"NÖ"	zeitung	print	1995-07-31	2026-06-24	
NOEWIRT	"Wirtschaft Niederösterreich"	"Die Zeitung der Wirtschaftskammer Niederösterreich"	added_in_amc5	aost	"NÖ"	zeitschrift	print	2013-02-15	2026-06-26	
NVB	"Neues Volksblatt (bis 2018) / Oberösterreichisches Volksblatt (ab 2018)"	"Tageszeitung für Oberösterreich"	im_amc	amitte	"OÖ"	zeitung	print	1997-09-01	2023-12-30	eingestellt
NVT	"Neue Vorarlberger Tageszeitung"	"Tageszeitung für Vorarlberg"	im_amc	awest	V	zeitung	print	1997-01-02	2026-06-30	
OBEROESW	"Oberösterreichische Wirtschaft"	"Die Zeitung für Oberösterreichs Unternehmen"	added_in_amc5	amitte	"OÖ"	fachmedium	print	2016-07-29	2026-06-18	
OBERRUND	"Oberländer Rundschau"	"Wochenzeitung für die Bezirke Imst, Landeck, Reutte, Telfs"	im_amc	awest	T	zeitung	print	2010-10-07	2026-06-24	
OECOOKING	"Österreich Cooking"	"Österreichisches Koch-Magazin"	added_in_amc5	agesamt	-	zeitschrift	print	2016-08-05	2025-12-19	skartiert
OEGEM	"Österreichische Gemeindezeitung"	"Österreichische Gemeindezeitung"	added_in_amc5	agesamt	-	fachmedium	print	2007-12-01	2026-05-13	
OEGZ	"ÖGZ Gastgewerbe-&Hotelzeitung"	"Österreichische Fachzeitung für Gastronomie"	added_in_amc5	agesamt	-	fachmedium	print	2001-01-12	2026-06-05	
OEINSIDER	"Österreich Insider"	"Ein neues Magazin für ein neues Jahrzehnt"	added_in_amc5	agesamt	-	zeitschrift	print	2020-01-10	2025-12-31	skartiert
OEINSTA	"Der Österreichische Installateur"	"Fachmagazin für Sanitär-, Heizungs- und Lüftungstechniker"	added_in_amc5	agesamt	-	fachmedium	print	2012-02-21	2026-06-30	
OEMADONNA	"Österreich Madonna"	"Österreichisches Frauen-Magazin"	added_in_amc5	agesamt	-	zeitschrift	print	2016-07-30	2025-12-27	skartiert
OEREICHE	"Österreich"	#N/A	skartiert	agesamt	-	zeitung	print	#N/A	#N/A	
OESTERREICH	"Österreich"	#N/A	skartiert	agesamt	-		print	#N/A	#N/A	
OEVERKH	"Österreichische Verkehrszeitung"	"Wöchentliche Zeitung für Transport und Logistik"	added_in_amc5	agesamt	-	zeitschrift	print	2019-02-20	2026-06-17	
OFLEISHH	"Fleisch & Co"	"Österreichisches Fachmagazin für die Fleischwirtschaft"	added_in_amc5	agesamt	-	fachmedium	print	2013-11-01	2024-09-06	eingestellt
OOEN	"Oberösterreichische Nachrichten"	"Tageszeitung für Oberösterreich"	im_amc	amitte	"OÖ"	zeitung	print	1996-01-02	2026-06-30	
ORFNACHH	"ORF nachlese"	"Programmbegleitendes Magazin des ORF"	added_in_amc5	agesamt	-	zeitschrift	print	2014-01-09	2026-05-30	
OTS	"Original Text Service"	OTS-Originaltext-Service	im_amc	agesamt	-	-	agentur	1989-06-01	2026-06-30	
PACKAGIN	Packaging	"Das Magazin für moderne Verpackung"	added_in_amc5	agesamt	-	fachmedium	print	2013-09-20	2025-12-15	
PERFECTE	"Perfect Eagle"	"Die Golfzeitschrift"	added_in_amc5	agesamt	-	zeitschrift	print	2014-03-28	2022-09-30	eingestellt
PHINFO	"Pharmig Info"	"Hintergrund-Info zu Gesundheit, Politik, Wirtschaft"	added_in_amc5	agesamt	-	fachmedium	print	1995-01-01	2026-06-17	
PRESSE	"Die Presse"	"überregionale österreichische Tageszeitung"	im_amc	agesamt	-	zeitung	print	1991-09-02	2026-06-30	
PRINTPUH	"Print & Publishing"	"Magazin für digitale und gedruckte Kommunikation"	added_in_amc5	agesamt	-	fachmedium	print	2013-03-29	2026-05-22	
PRO7VOLL	PRO7	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	agesamt	-	-	av_transcript	2007-02-27	2020-05-06	eingestellt
PROFIL	Profil	"Österreichisches Nachrichtenmagazin"	im_amc	agesamt	-	zeitschrift	print	1994-01-03	2026-06-27	
PUBLICH	public	"Österreichisches Gemeindemagazin"	added_in_amc5	agesamt	-	fachmedium	print	2014-05-21	2025-09-24	
PULSVOLL	PULS4	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	agesamt	-	-	av_transcript	2007-02-28	2020-07-01	eingestellt
PUNKTUMH	Elektropraxis	"Österreichs Fachmagazin für Elektroinstallationstechnik"	added_in_amc5	agesamt	-	fachmedium	print	2019-04-29	2026-04-27	
RAIFF	Raiffeisenzeitung	"Die Wochenzeitung des Österreichischen Raiffeisenverbandes"	added_in_amc5	agesamt	-	zeitschrift	print	2004-07-01	2026-06-25	
REGAL	Regal	"Fachjournal für Markenartikel und Einzelhandel"	added_in_amc5	agesamt	-	fachmedium	print	1995-08-01	2026-06-01	
